iter	MultiClass
559	0.5116646669
560	0.511590901
561	0.5115351132
562	0.5114278805
563	0.5112634086
564	0.511218769
565	0.510974283
566	0.5109183886
567	0.5108806084
568	0.510770994
569	0.5107365235
570	0.510679957
571	0.5106044165
572	0.510594696
573	0.5105198207
574	0.5104139787
575	0.510280552
576	0.5102458282
577	0.5102292026
578	0.5101659481
579	0.5100410424
580	0.5098877023
581	0.5098202486
582	0.5098046966
583	0.5097614195
584	0.5096834167
585	0.5096213671
586	0.5094304842
587	0.5093057224
588	0.5091626637
589	0.509104048
590	0.5090161119
591	0.5088626875
592	0.5088324438
593	0.5087574583
594	0.5087044153
595	0.5086281487
596	0.5085300716
597	0.5084420481
598	0.5083733771
599	0.5082165905
600	0.5082042749
601	0.5080771924
602	0.5079718777
603	0.5078879441
604	0.5078085898
605	0.5077833699
606	0.5076589554
607	0.5075604689
608	0.5075215449
609	0.5075041875
610	0.5074633124
611	0.5073649777
612	0.507270345
613	0.507161621
614	0.5070076232
615	0.5069456482
616	0.5068330065
617	0.5067635622
618	0.5067131658
619	0.5066565352
620	0.5066402307
621	0.506575184
622	0.5064966113
623	0.5063601214
624	0.5062800042
625	0.5062163119
626	0.5061828637
627	0.5060393227
628	0.5059510644
629	0.5058749323
630	0.5058367268
631	0.5057509033
632	0.5057055538
633	0.5056640207
634	0.5056230129
635	0.5055959522
636	0.5055191274
637	0.5053615631
638	0.5053240413
639	0.5052239758
640	0.5051805848
641	0.5051436966
642	0.5050909229
643	0.5049527302
644	0.5049318721
645	0.5047769014
646	0.5046197957
647	0.5045024387
648	0.5044193642
649	0.5043059007
650	0.5041907718
651	0.504169625
652	0.5040924368
653	0.5040340728
654	0.5039055135
655	0.5038610525
656	0.503815212
657	0.503745943
658	0.5036923149
659	0.5036147105
660	0.5035516618
661	0.5033426985
662	0.5032456336
663	0.5031098062
664	0.5030186929
665	0.502897589
666	0.5028657941
667	0.5028059754
668	0.5026713724
669	0.5025490684
670	0.5025050371
671	0.5024752791
672	0.5023871969
673	0.5022529986
674	0.5021363556
675	0.5020849799
676	0.5020057773
677	0.5018983234
678	0.501789768
679	0.5017375002
680	0.5016469451
681	0.5015943796
682	0.5015368864
683	0.5014493125
684	0.5013776498
685	0.5012942277
686	0.5012395818
687	0.5011184938
688	0.5010070227
689	0.5009539968
690	0.5008678225
691	0.5007578135
692	0.5005930552
693	0.5004776909
694	0.5004364797
695	0.5004068367
696	0.500384671
697	0.5003719957
698	0.5002292271
699	0.5001918238
700	0.5001350571
701	0.5000681462
702	0.5000074858
703	0.4999713393
704	0.4998392937
705	0.4997791443
706	0.4997455852
707	0.499632731
708	0.4995446677
709	0.4994104171
710	0.4993443686
711	0.499220392
712	0.4991045183
713	0.4990467563
714	0.498988421
715	0.4988417335
716	0.4987221809
717	0.4985706939
718	0.4984465248
719	0.4984004322
720	0.4982837866
721	0.498241189
722	0.4980975279
723	0.4980022853
724	0.4979298152
725	0.4978771092
726	0.4977528609
727	0.4976788849
728	0.4976596142
729	0.4975633398
730	0.4974548677
731	0.4973758573
732	0.4973104892
733	0.4972745517
734	0.4971451738
735	0.4970912395
736	0.4970296775
737	0.4969440137
738	0.4968094905
739	0.4967192352
740	0.4965375222
741	0.4964685943
742	0.4964050467
743	0.4963197192
744	0.4962647205
745	0.4961982195
746	0.4961101463
747	0.4960438231
748	0.4959544615
749	0.4959088031
750	0.4958536461
751	0.4957220105
752	0.4956189715
753	0.4955938044
754	0.4954918293
755	0.4953474391
756	0.495237672
757	0.495141604
758	0.4950838185
759	0.4949734556
760	0.4948012353
761	0.494660624
762	0.4946250602
763	0.4945314858
764	0.4944637295
765	0.4943769906
766	0.4943022348
767	0.4942533899
768	0.494223749
769	0.4940811889
770	0.4940139536
771	0.4939252501
772	0.4938445799
773	0.4937836755
774	0.4936593979
775	0.4935457271
776	0.493464685
777	0.4934343087
778	0.493387541
779	0.4932995704
780	0.4931850828
781	0.4930869614
782	0.4930134898
783	0.4929352293
784	0.4927800731
785	0.4927451822
786	0.4927073045
787	0.4926545866
788	0.4925785826
789	0.4925290972
790	0.4924444972
791	0.4923637265
792	0.4922886945
793	0.4921900356
794	0.49214116
795	0.492003602
796	0.4919727998
797	0.491873615
798	0.4918498415
799	0.4917531039
